neighborhood_uid,Seq,neighborhood,CIUDAD,TIPO O COLONIA,SE CT O R,ZONIFICA CI√ìN,APPROVAL_DATE
19-JRDNS-001,582,JARDINES DE MIRAFLORES,TEGUCIGALPA,Barrio/Colonia,19,R2,1988
19-JYSDL-001,583,"JOYAS DEL DORADO EXP. 1649-13, 4326-13",TEGUCIGALPA,Barrio/Colonia,19,R3,2014
19-LJYFS-001,584,LA JOYA FOSOVI,TEGUCIGALPA,Barrio/Colonia,19,R3,
19-LSBRS-001,585,LAS BRISAS,COMAYAG√úELA,Barrio/Colonia,19,R3,
19-LSBRS-002,586,LAS BRISAS BETANIA,COMAYAG√úELA,Barrio/Colonia,19,R3,
19-LSCLN-001,587,LAS COLINAS,TEGUCIGALPA,Barrio/Colonia,19,R2,1980
19-LMVRD-001,588,LOMA VERDE,TEGUCIGALPA,Barrio/Colonia,19,R3,1989
19-LMSDL-001,589,LOMAS DE LA JOYA,TEGUCIGALPA,Barrio/Colonia,19,R3,1999
19-LMSDM-001,590,LOMAS DE MIRAFLORES,TEGUCIGALPA,Barrio/Colonia,19,R2,1993
19-LMSDM-002,591,LOMAS DE MIRAFLORES SUR,TEGUCIGALPA,Barrio/Colonia,19,R3,
19-LSTLP-001,592,LOS TULIPANES,TEGUCIGALPA,Barrio/Colonia,19,R3,
19-MRFLR-001,593,MIRAFLORES,TEGUCIGALPA,Barrio/Colonia,19,R2,
19-MRFLR-002,594,MIRAFLORES NORTE,TEGUCIGALPA,Barrio/Colonia,19,R3,1983
19-MRFLR-003,595,MIRAFLORES SUR,TEGUCIGALPA,Barrio/Colonia,19,R2,2000
19-NRGNR-001,596,NORA GUNERA DE MELGAR,TEGUCIGALPA,Barrio/Colonia,19,R3,
19-VLLBN-001,597,VILLA BENETO,TEGUCIGALPA,Barrio/Colonia,19,R3,2000
19-VLLCR-001,598,VILLA CRISTINA,TEGUCIGALPA,Barrio/Colonia,19,R3,
19-VLLSM-001,599,VILLA ESMERALDA,COMAYAG√úELA,Barrio/Colonia,19,R3,2002
19-VLLSM-002,600,VILLA ESMERALDA SEGUNDA ETAPA,COMAYAG√úELA,Barrio/Colonia,19,R3,2003
19-VLLSL-001,601,VILLAS LOMAS DE MIRAFLORES,TEGUCIGALPA,Barrio/Colonia,19,R3,2009
20-LDDJC-001,602,ALDEA DE JACALEAPA,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-LTSDL-001,603,ALTOS DE LOS PINOS,TEGUCIGALPA,Barrio/Colonia,20,R4,2001
20-LTSDV-001,604,ALTOS DE VILLA VIEJA,TEGUCIGALPA,Barrio/Colonia,20,R4,2005
20-BRNRD-001,605,BERNARDO DAZZI ETAPA 3,TEGUCIGALPA,Barrio/Colonia,20,R3,2003
20-BTHL-001,606,BETHEL,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-BRSSD-001,607,BRISAS DE JACALEAPA,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-BRSSD-002,608,BRISAS DE ORIENTE,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-CDDJR-001,609,CIUDAD JARDIN,TEGUCIGALPA,Barrio/Colonia,20,R3,2006
20-CLGYM-001,610,COL GUAYMURA,TEGUCIGALPA,Barrio/Colonia,20,R4,1987
20-CLSNT-001,611,COL SANTA ISABEL(RECIBE NOMBRE PALMAS),TEGUCIGALPA,Barrio/Colonia,20,R3,
20-DSPRV-001,612,DIOS PROVEERA,TEGUCIGALPA,Barrio/Colonia,20,R4,1999
20-HMBRG-001,613,HAMBURGO,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-HNDRS-001,614,HONDURAS,TEGUCIGALPA,Barrio/Colonia,20,R4,1993
20-JSRBR-001,615,JOSE ROBERTO MOLINA MURILLO FONEDOR,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-KNNDY-001,616,KENNEDY FOSOVI,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-KNNDY-002,617,KENNEDY NORTE,TEGUCIGALPA,Barrio/Colonia,20,R4,2002
20-LSPLM-001,618,LAS PALMAS,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-LMSDJ-001,619,LOMAS DE JACALEAPA,TEGUCIGALPA,Barrio/Colonia,20,R4,2004
20-LMSDS-001,620,LOMAS DE SAN JOSE,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-LMSDL-001,621,LOMAS DEL DORADO,TEGUCIGALPA,Barrio/Colonia,20,R4,2002
20-LSPNS-001,622,LOS PINOS,TEGUCIGALPA,Barrio/Colonia,20,R4,
20-RS.LS-001,623,RES. LOS PORTALES,TEGUCIGALPA,Barrio/Colonia,20,R4,2007
20-RLDLS-001,624,REAL DE LAS PALMAS,TEGUCIGALPA,Barrio/Colonia,20,R4,2007
20-RSDNC-001,625,RESIDENCIAL PLAZA,TEGUCIGALPA,Barrio/Colonia,20,R3,2004
20-RSDNC-002,626,RESIDENCIAL PLAZA CIRCUITO CERRADO SUB DIVISION,TEGUCIGALPA,Barrio/Colonia,20,R4,2007
20-SNJSD-001,627,SAN JOSE DE LOS LLANOS,TEGUCIGALPA,Barrio/Colonia,20,R4,1986
20-SNTSB-001,628,SANTA ISABEL,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-TRRBL-001,629,TIERRA BLANCA,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-VGSDL-001,630,VEGAS DE LA JOYA,TEGUCIGALPA,Barrio/Colonia,20,R3,2013
20-VCTRF-001,631,VICTOR F ARDON,TEGUCIGALPA,Barrio/Colonia,20,R4,2007
20-VN-001,632,VIENA,TEGUCIGALPA,Barrio/Colonia,20,R4,2007
20-VLLNV-001,633,VILLA NUEVA NORTE,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-VLLNV-002,634,VILLA NUEVA SUR,TEGUCIGALPA,Barrio/Colonia,20,R3,
20-VLLVJ-001,635,VILLA VIEJA,TEGUCIGALPA,Barrio/Colonia,20,R4,1951
20-VLLSC-001,636,VILLAS COLONIAL,TEGUCIGALPA,Barrio/Colonia,20,R3,2012
20-VSTHR-001,637,VISTA HERMOSA,TEGUCIGALPA,Barrio/Colonia,20,R3,
21-LDJCL-001,638,ALDEA JACALEAPA (CASERIO LA CA�ADA No. 2),TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LDLCND-001,639,ALDEA LA CA�ADA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LMN-001,640,ALEMAN,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LPS-001,641,ALPES,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LTSDJ-001,642,ALTOS DE JARDINES LOARQUE,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LTSDL-001,643,ALTOS DE LAS VEGAS,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LTSDL-002,644,ALTOS DE LOARQUE,TEGUCIGALPA,Barrio/Colonia,21,R3,1993
21-LTSDS-001,645,ALTOS DE SAN ISIDRO,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LTSDV-001,646,ALTOS DE VENECIA ETAPA 3 (CONDOMINIO HORIZONTAL),TEGUCIGALPA,Barrio/Colonia,21,R3,2005
21-LTSDV-002,647,ALTOS DE VENECIA ETAPA 1 Y ETAPA 2,TEGUCIGALPA,Barrio/Colonia,21,R3,2012
21-NXLSV-001,648,ANEXO LAS VEGAS,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-BRSSD-001,649,BRISAS DE JACALEAPA,TEGUCIGALPA,Barrio/Colonia,21,R3/R4,2002
21-BRSSD-002,650,BRISAS DE JACALEAPA 4 ETAPA,TEGUCIGALPA,Barrio/Colonia,21,R4,2002
21-CLPLS-001,651,CALPULES,TEGUCIGALPA,Barrio/Colonia,21,R4,1987
21-CSCLF-001,652,CASO COL FALDAS DEL PEDREGAL,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-CL14D-001,653,COL 14 DE MARZO,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-CLPPL-001,654,COL POPULAR NUM 1 COMAYAGUELA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-CLSNJ-001,655,COL SAN JOSE DEL PEDREGAL,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-CLLCN-001,656,COL LA CANADA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-CLLP√-001,657,COL LA PE√ëA,TEGUCIGALPA,Barrio/Colonia,21,R4,1999
21-CMNDD-001,658,COMUNIDAD SOCIAL,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-CVDPR-001,659,COVIDEPROL / LA ROMA,TEGUCIGALPA,Barrio/Colonia,21,R3,1988
21-LMLN-001,660,EL MOLINO,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-RNDD(-001,661,ERENDIDA (LAS VEGAS),TEGUCIGALPA,Barrio/Colonia,21,R4,1990
21-FBRCT-001,662,FABRICA TEXTILES RIO LINDO,TEGUCIGALPA,Barrio/Colonia,21,ZI,
21-JRDNS-001,663,JARDINES DE LOARQUE,TEGUCIGALPA,Barrio/Colonia,21,R2,
21-JSSGL-001,664,JESUS AGUILAR PAZ / OROPEL,TEGUCIGALPA,Barrio/Colonia,21,R3,1995
21-LC√ËD-001,665,LA CA√ëADA,TEGUCIGALPA,Barrio/Colonia,21,R4,2011
21-LCNG-001,666,LA CIENEGA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LSGRN-001,667,LAS GRANJITAS,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LSVGS-001,668,LAS VEGAS,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LSVGS-002,669,LAS VEGAS (FECESITLEH),TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LRQ-001,670,LOARQUE,TEGUCIGALPA,Barrio/Colonia,21,R3,1998
21-LRQSR-001,671,LOARQUE SUR,TEGUCIGALPA,Barrio/Colonia,21,R3,1991
21-LMSR-001,672,LOMA SUR,TEGUCIGALPA,Barrio/Colonia,21,R3,2006
21-LMSDL-001,673,LOMAS DE LOARQUE,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LMSDL-002,674,LOMAS DEL NAVOO,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LSLPS-001,675,LOS ALPES,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LSNCN-001,676,LOS ENCUENTROS,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-LSMLN-001,677,LOS MOLINOS IMPREMA / JOSE MARIA ANDRADE,TEGUCIGALPA,Barrio/Colonia,21,R4,2006
21-LSCRD-001,678,LUIS CORDOVA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-MRDRD-001,679,MIRADOR DEL LOARQUE,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-MRDRS-001,680,MIRADOR SAN ISIDRO,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-MNTRR-001,681,MONTERREY,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-MNTRR-002,682,MONTERREY NORTE,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-MNTRR-003,683,MONTERREY SUR,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-MNTSD-001,684,MONTES DE SINAI,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-NVLRQ-001,685,NUEVO LOARQUE,TEGUCIGALPA,Barrio/Colonia,21,R2,
21-P√ËVJ-001,686,PE√ëA VIEJA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-PPLR-001,687,POPULAR,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-RS.LT-001,688,RES. ALTA VISTA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-RS.LC-001,689,RES. LA CA√ëADA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-RSDNC-001,690,RESIDENCIAL PARIS,TEGUCIGALPA,Barrio/Colonia,21,R4,2012
21-RGRND-001,691,RIO GRANDE NORTE,TEGUCIGALPA,Barrio/Colonia,21,R2,
21-RGRND-002,692,RIO GRANDE SUR,TEGUCIGALPA,Barrio/Colonia,21,R3,1996
21-RM-001,693,ROMA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-SNNGL-001,694,SAN ANGEL,TEGUCIGALPA,Barrio/Colonia,21,R4,2005
21-SNJSD-001,695,SAN JOSE DE LA PE√ëA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-SNJSD-002,696,SAN JOSE DE LA VEGA,TEGUCIGALPA,Barrio/Colonia,21,R4,1990
21-SNJSD-003,697,SAN JOSE DE LOS LLANOS,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-VGSDL-001,698,VEGAS DEL RIO,TEGUCIGALPA,Barrio/Colonia,21,R4,2005
21-VNCTP-001,699,VENECIA ETAPA 1 Y ETAPA 2,TEGUCIGALPA,Barrio/Colonia,21,R3,2013
21-VSTHR-001,700,VISTA HERMOSA,TEGUCIGALPA,Barrio/Colonia,21,R3,
21-ZNPNT-001,701,ZONA PUENTE LOARQUE,TEGUCIGALPA,Barrio/Colonia,21,R3,
22-RPRTT-001,702,AEROPUERTO TONCONTIN,TEGUCIGALPA/ COMAYAGUELA,Barrio/Colonia,22,G,
22-LTSDS-001,703,ALTOS DE SAN JOSE,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-BRSSD-001,704,BRISAS DEL CORTIJO,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-BRSSD-002,705,BRISAS DEL RIO,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-CLPRV-001,706,COL PROVIDENCIA,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-CLSTL-001,707,COL SATELITE,TEGUCIGALPA,Barrio/Colonia,22,R2,1972
22-LCRRZ-001,708,EL CARRIZAL,,Barrio/Colonia,22,R3,
22-LCC-001,709,EL COCO,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-FBRCT-001,710,FABRICA TEXTILES RIO LINDO,COMAYAG√úELA,Barrio/Colonia,22,ZI,
22-FRNCS-001,711,FRANCISCO MURILLO SOTO,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-JRDNS-001,712,JARDINES DE SAN JOSE,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-JRDNS-002,713,JARDINES DE TONCONTIN,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-LMSDL-001,714,LOMAS DEL CORTIJO,COMAYAG√úELA,Barrio/Colonia,22,R3,1984
22-LSZRS-001,715,LOS ZORSALES # 1,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-LSZRS-002,716,LOS ZORSALES # 2,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-LSZRZ-001,717,LOS ZORZALES,COMAYAG√úELA,Barrio/Colonia,22,R4,1987
22-MNTLM-001,718,MONTELIMAR,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-SCR.F-001,719,OSCAR A. FLORES,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-PRTJR-001,720,PARTE JARDINES DE SAN JOSE,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-PRVDN-001,721,PROVIDENCIA,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-RSDNC-001,722,RESIDENCIAL MONTELIMAR,COMAYAG√úELA,Barrio/Colonia,22,R4,1985
22-RVRDL-001,723,RIVERA DE LA VEGA,COMAYAG√úELA,Barrio/Colonia,22,R4,2001
22-RBRTS-001,724,ROBERTO SUAZO CORDOVA NRO. 1,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-SNJS-001,725,SAN JOSE,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-SNJSD-001,726,SAN JOSE DEL PEDREGAL,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-SNTDM-001,727,SANTO DOMINGO,COMAYAG√úELA,Barrio/Colonia,22,R3,
22-TRNDD-001,728,TRINIDAD,COMAYAG√úELA,Barrio/Colonia,22,R3,
23-15DSP-001,729,15 DE SEPTIEMBRE,TEGUCIGALPA/ COMAYAG√úELA,Barrio/Colonia,23,R2,1990
23-RPRT-001,730,AEROPUERTO,TEGUCIGALPA,Barrio/Colonia,23,R2,1987
23-GDLC-001,731,AGUA DULCE,TEGUCIGALPA,Barrio/Colonia,23,R3,2002
23-GDLCS-001,732,AGUA DULCE SIN DESARROLLO,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-LDGDL-001,733,ALDEA AGUA DULCE,TEGUCIGALPA,Barrio/Colonia,23,UR,
23-LDLSC-001,734,ALDEA LAS CASITAS,TEGUCIGALPA/ COMAYAGUELA,Barrio/Colonia,23,UR,
23-LSS-001,735,ALESSA,TEGUCIGALPA/ COMAYAG√úELA,Barrio/Colonia,23,R3,
23-LTSDL-001,736,ALTOS DE LAS HADAS,TEGUCIGALPA,Barrio/Colonia,23,R3,2001
23-MRC-001,737,AMERICA,TEGUCIGALPA,Barrio/Colonia,23,R2,
23-CSSVR-001,738,CASAS VERDES,TEGUCIGALPA,Barrio/Colonia,23,R3,2008
23-CSCD-001,739,CASCADA,TEGUCIGALPA,Barrio/Colonia,23,R2,1989
23-CSCDS-001,740,CASCADAS SEGUNDA ETAPA,TEGUCIGALPA,Barrio/Colonia,23,R3,2004
23-CTS-001,741,CATESA,TEGUCIGALPA,Barrio/Colonia,23,R1,
23-CLGDY-001,742,COL GODOY,TEGUCIGALPA,Barrio/Colonia,23,R2,
23-CL.MR-001,743,COL. AMERICA,TEGUCIGALPA,Barrio/Colonia,23,R2,1954
23-CNDMN-001,744,CONDOMINIOS TONCONTIN,TEGUCIGALPA,Barrio/Colonia,23,R3,2003
23-LDRLC-001,745,EL DORAL CON EXP 5640-11,TEGUCIGALPA,Barrio/Colonia,23,R2,2011
23-LSC-001,746,EL SAUCE,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-JRDNS-001,747,JARDINES DE LOARQUE,TEGUCIGALPA,Barrio/Colonia,23,R2,
23-LGRNV-001,748,LA GRAN VILLA,TEGUCIGALPA,Barrio/Colonia,23,R2,
23-LSCST-001,749,LAS CASITAS (CASERIO LAS CASITAS),TEGUCIGALPA,Barrio/Colonia,23,R3,
23-LSCST-002,750,LAS CASITAS (COLONIA FELICIDAD),TEGUCIGALPA,Barrio/Colonia,23,R3,
23-LSHDS-001,751,LAS HADAS,TEGUCIGALPA,Barrio/Colonia,23,R3,2001
23-LSHDS-002,752,LAS HADAS FECOVIL,TEGUCIGALPA,Barrio/Colonia,23,R3,2002
23-LSHDS-003,753,LAS HADAS SOGERIN,TEGUCIGALPA,Barrio/Colonia,23,R2,2002
23-LLNSD-001,754,LLANOS DEL POTRERO,TEGUCIGALPA,Barrio/Colonia,23,R2,2007
23-LSNGL-001,755,LOS ANGELES,TEGUCIGALPA,Barrio/Colonia,23,R1,1989
23-LSNGL-002,756,LOS ANGELES(CATESA),TEGUCIGALPA,Barrio/Colonia,23,R2,
23-LSNS√-001,757,LOS ENSUE√ëOS LLANOS DEL POTRERO (CIRCUITO CERRADO),TEGUCIGALPA,Barrio/Colonia,23,R2,2007
23-LSCLP-001,758,LOS EUCALIPTOS,TEGUCIGALPA,Barrio/Colonia,23,R4,2006
23-LSHDL-001,759,LOS HIDALGOS,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-LSHDL-002,760,LOS HIDALGOS CIRCUITO 1 Y CIRCUITO 2,TEGUCIGALPA,Barrio/Colonia,23,R3,2014
23-LSPRD-001,761,LOS PERIODISTAS,TEGUCIGALPA,Barrio/Colonia,23,R1,
23-LSRBL-001,762,LOS ROBLES,TEGUCIGALPA,Barrio/Colonia,23,R3,1988
23-MRDRD-001,763,MIRADOR DE LOS ANGELES,TEGUCIGALPA,Barrio/Colonia,23,R3,2014
23-MDL-001,764,MODELO,TEGUCIGALPA,Barrio/Colonia,23,R2,
23-PLMRL-001,765,PALMA REAL,TEGUCIGALPA,Barrio/Colonia,23,R3,1998
23-PRTLD-001,766,PORTAL DE AGUA DULCE (CONDOMINIO HORIZONTAL),TEGUCIGALPA,Barrio/Colonia,23,R4,2016
23-PRTLD-002,767,PORTAL DEL BOSQUE I,TEGUCIGALPA,Barrio/Colonia,23,R3,2015
23-PRTLD-003,768,PORTAL DEL BOSQUE II ETAPA,TEGUCIGALPA,Barrio/Colonia,23,R4,2018
23-RSLSV-001,769,RES LAS UVAS,TEGUCIGALPA,Barrio/Colonia,23,R2,1999
23-RSLMS-001,770,RES LUIMISA,TEGUCIGALPA,Barrio/Colonia,23,R1-R2,1989
23-RS.LT-001,771,RES. ALTOS DE LAS HADAS,TEGUCIGALPA,Barrio/Colonia,23,R2,
23-RS.LS-001,772,RES. LAS MARGARITAS,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-RS.TN-001,773,RES. TONCONTIN,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-RS.VL-001,774,RES. VILLAS DEL REAL,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-RSDNC-001,775,RESIDENCIAL LAS CANARIAS,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-RSDNC-002,776,RESIDENCIAL SANTA CRUZ I YII,TEGUCIGALPA,Barrio/Colonia,23,R3,2016
23-RBLLT-001,777,ROBLE ALTO,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-RBLLT-002,778,ROBLE ALTO II,TEGUCIGALPA,Barrio/Colonia,23,R2,
23-RBLST-001,779,"ROBLE OESTE I, II, III, IV, V Y VI ETAPA",TEGUCIGALPA,Barrio/Colonia,23,R3,2010
23-SNJSD-001,780,SAN JOSE DE LOARQUE,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-SNTCR-001,781,SANTA CRUZ II ETAPA,TEGUCIGALPA,Barrio/Colonia,23,R3,2011
23-SNTCR-002,782,SANTA CRUZ III ETAPA,TEGUCIGALPA,Barrio/Colonia,23,R3,2016
23-SBDVS-001,783,SUB DIVISION LAS HADAS,TEGUCIGALPA,Barrio/Colonia,23,R3,2007
23-TNCNT-001,784,TONCONTIN,TEGUCIGALPA,Barrio/Colonia,23,R3,2000
23-VL-001,785,VIA LIA,TEGUCIGALPA,Barrio/Colonia,23,UR,1999
23-VLLLN-001,786,VILLA ALONDRA,TEGUCIGALPA,Barrio/Colonia,23,R1,2007
23-VLLSN-001,787,VILLA SAN JORGE,TEGUCIGALPA,Barrio/Colonia,23,R3,2005
23-VLLSN-002,788,VILLA SAN RAFAEL 2003,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-VLLTR-001,789,VILLA TERRANOVA(COL AMERICA),TEGUCIGALPA,Barrio/Colonia,23,R3,2001
23-VLLTS-001,790,VILLA TOSCANA,TEGUCIGALPA,Barrio/Colonia,23,R3,2012
23-VLLSD-001,791,VILLAS DE LAS HADAS (CONDOMINIO HORIZONTAL),TEGUCIGALPA,Barrio/Colonia,23,R2,2005
23-VLLSD-002,792,VILLAS DEL REAL / VILLA DE PALMERAS,TEGUCIGALPA,Barrio/Colonia,23,R3,2006
23-VLLSM-001,793,VILLAS MARIA,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-VLLSM-002,794,VILLAS MARIA COL LA MODELO,TEGUCIGALPA,Barrio/Colonia,23,R3,2002
23-VLLSL-001,795,VILLAS LOS PINOS EL SAUCE I ETAPA,TEGUCIGALPA,Barrio/Colonia,23,R3,2008
23-VLLSL-002,796,VILLAS LAS ACACIAS EL SAUCE I ETAPA,TEGUCIGALPA,Barrio/Colonia,23,R3,2008
23-VLLST-001,797,VILLAS TELLI,TEGUCIGALPA,Barrio/Colonia,23,R3,
23-ZNLCL-001,798,ZUNLACAL,TEGUCIGALPA/ COMAYAG√úELA,Barrio/Colonia,23,R2,
24-BLVR-001,799,BOLIVAR,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-CDDNV-001,800,CIUDAD NUEVA,COMAYAG√úELA,Barrio/Colonia,24,R1,1959
24-LSTQR-001,801,EL ESTIQUIRIN,COMAYAG√úELA,Barrio/Colonia,24,R4,1956
24-FLRDL-001,802,FLOR DEL CAMPO (LAS DELICIAS),COMAYAG√úELA,Barrio/Colonia,24,R3,
24-HNRYM-001,803,HENRY MERRIAN,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-NSTRZ-001,804,INESTROZA,TEGUCIGALPA/ COMAYAG√úELA,Barrio/Colonia,24,R3,
24-JRDNS-001,805,JARDINES DE TONCONTIN,COMAYAG√úELA,Barrio/Colonia,24,R3,2001
24-LBRRR-001,806,LA BURRERA,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-LC√ËD-001,807,LA CA√ëADA,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-LPRDR-001,808,LA PRADERA,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-LRS-001,809,LA ROSA,COMAYAG√úELA,Barrio/Colonia,24,R4,1982
24-LSTRR-001,810,LAS TORRES,TEGUCIGALPA/ COMAYAGUELA,Barrio/Colonia,24,R3,
24-LSNDR-001,811,LUIS ANDRES ZUNIGA,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-MDSTR-001,812,MODESTO RODAS ALVARADO,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-NVSDL-001,813,NUEVAS DELICIAS,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-PRTLD-001,814,PORTAL DE LAS FLORES (CIRCUITO CERRADO),COMAYAG√úELA,Barrio/Colonia,24,R1,2005
24-PRDR-001,815,PRADERA,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-PRDSD-001,816,PREDIOS DEL RECREO,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-PRPDD-001,817,PROPIEDAD PRIVADA LAS TORRES,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-RVS-001,818,RIVAS,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-SNLS-001,819,SAN LUIS,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-SNTBR-001,820,SANTA BARBARA,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-TRNDD-001,821,TRINIDAD,COMAYAG√úELA,Barrio/Colonia,24,R3,
24-RBNZC-001,822,URBANIZACION LAS TORRES,COMAYAG√úELA,Barrio/Colonia,24,R2,1991
24-VLLNL-001,823,VILLA NELITA,COMAYAG√úELA,Barrio/Colonia,24,R4,1998
24-VLLSL-001,824,VILLAS ALCALA,COMAYAG√úELA,Barrio/Colonia,24,R2,2007
25-14DNR-001,825,14 DE ENERO,COMAYAG√úELA,Barrio/Colonia,25,R3,
25-LDLCS-001,826,ALDEA LA CUESTA,COMAYAG√úELA,Barrio/Colonia,25,R3,
25-LDLCS-002,827,ALDEA LA CUESTA (BALDIO),COMAYAG√úELA,Barrio/Colonia,25,UR,
25-LDLSL-001,828,ALDEA LA SOLEDAD,COMAYAG√úELA,Barrio/Colonia,25,R4,1980
25-LDLSL-002,829,ALDEA LA SOLEDAD NO 2,COMAYAG√úELA,Barrio/Colonia,25,R3,
25-LTSDL-001,830,ALTOS DE LA CENTROAMERICA,COMAYAG√úELA,Barrio/Colonia,25,R3,
25-LTSDL-002,831,ALTOS DE LA LAGUNA,COMAYAG√úELA,Barrio/Colonia,25,R4,2005
25-LTSDL-003,832,ALTOS DEL PARAISO,COMAYAG√úELA,Barrio/Colonia,25,R4,1992
25-STRL-001,833,AUSTRALIA,COMAYAG√úELA,Barrio/Colonia,25,R4,2005
25-BRRLC-001,834,BARRIO LA CUESTA NO1,COMAYAG√úELA,Barrio/Colonia,25,R3,
25-BRSSD-001,835,BRISAS DEL NORTE,COMAYAG√úELA,Barrio/Colonia,25,R4,1995
25-CNTRR-001,836,CANTARERO LOPEZ,COMAYAG√úELA,Barrio/Colonia,25,R3,
25-CRRZL-001,837,CARRIZAL ZONA QUEBRACHOS,COMAYAG√úELA,Barrio/Colonia,25,R3,
25-CSRLP-001,838,CASERIO EL PEDREGAL,COMAYAG√úELA,Barrio/Colonia,25,R3,
