ogc_fid,sector,cod_col,name,NEIGHBORHOOD,alias,AliasType,GISID,uid
2602,29,2901,COLONIA VILLA NUEVA SUYAPA,VILLA NUEVA SUYAPA,VILLA NUEVA SUYAPA,Default,452,29-VILNUE-001
9074,29,2901,VILLA NUEVA SUYAPA,VILLA NUEVA SUYAPA,VILLA NUEVA SUYAPA,Default,661,29-VILNUE-002
487,32,3218,VILLA NUEVA VIEJA,VILLA NUEVA VIEJA,VILLA NUEVA VIEJA,Default,97,32-VILNUE-002
1614,32,3208,VILLA NUEVA-SITIO CARRANZA,VILLA NUEVA-SITIO CARRANZA,VILLA NUEVA-SITIO CARRANZA,Default,747,32-VILNUE-011
3499,17,0,VILLA OLIMPICA,VILLA OLIMPICA,VILLA OLIMPICA,Default,17,17-VILOLI-001
4082,28,2823,VILLA ORQUIDEAS,VILLA ORQUIDEAS,VILLA ORQUIDEAS,Default,943,28-VILORQ-001
1,17,1727,RESIDENCIAL VILLA PALMERAS,VILLA PALMERAS,VILLA PALMERAS,Default,1257,17-VILPAL-001
1,56,5613,COLONIA VILLA PENIEL II ETAPA,VILLA PENIEL II,VILLA PENIEL II,Default,1342,56-VILPEN-001
9912,13,0,VILLA QUEZADA,VILLA QUEZADA,VILLA QUEZADA,Default,1053,13-VILQUE-001
21526,13,1325,VILLA SAN ANTONIO O BOQUERON,VILLA SAN ANTONIO O BOQUERON,VILLA SAN ANTONIO O BOQUERON,Default,1100,13-VILSAN-001
2903,28,2822,RESIDENCIAL VILLA SAN JORGE,VILLA SAN JORGE,VILLA SAN JORGE,Default,255,28-VILSAN-001
4430,22,2205,SAN JOSE DEL PEDREGAL,SAN JOSE DEL PEDREGAL,SAN JOSE DEL PEDREGAL,Default,358,22-SANJOS-002
5750,23,2336,RESIDENCIAL VILLA SAN RAFAEL,VILLA SAN RAFAEL,VILLA SAN RAFAEL,Default,609,23-VILSAN-001
2649,27,2716,RESIDENCIAL  VILLA SAN SEBASTIAN,VILLA SAN SEBASTIAN,VILLA SAN SEBASTIAN,Default,159,27-VILSAN-001
4078,19,1938,RESIDENCIAL VILLA SANTA CRISTINA,VILLA SANTA CRISTINA,VILLA SANTA CRISTINA,Default,657,19-VILSAN-002
1698,9,942,COLONIA VILLA SANTA MARGARITA,VILLA SANTA MARGARITA,VILLA SANTA MARGARITA,Default,742,09-VILSAN-001
2555,19,0,VILLA SANTA MARIA,VILLA SANTA MARIA,VILLA SANTA MARIA,Default,326,19-VILSAN-001
6441,23,2334,VILLA SANTA MONICA,VILLA SANTA MONICA,VILLA SANTA MONICA,Default,881,23-VILSAN-002
46,55,5520,COLONIA VILLA SANTA TERESITA,VILLA SANTA TERESITA,VILLA SANTA TERESITA,Default,167,55-VILSAN-001
1925,17,1711,VILLA SUYAPA OLINMPICA,VILLA SUYAPA OLINMPICA,VILLA SUYAPA OLINMPICA,Default,368,17-VILSUY-001
12401,23,0,VILLA TERRANOVA,VILLA TERRANOVA,VILLA TERRANOVA,Default,822,23-VILTER-001
1068,23,2364,RESIDENCIAL VILLA TOSCANA ETAPA I,VILLA TOSCANA I,VILLA TOSCANA I,Default,1077,23-VILTOS-001
12239,7,769,COLONIA VILLA UNION,VILLA UNION,VILLA UNION,Default,532,07-VILUNI-001
2571,26,2671,COLONIA VILLA VIEJA,VILLA VIEJA,VILLA VIEJA,Default,758,26-VILVIE-001
1905,32,3207,VILLA VIEJA ( SITIO CARRANZA ),VILLA VIEJA ( SITIO CARRANZA ),VILLA VIEJA ( SITIO CARRANZA ),Default,100,32-VILVIE-001
1882,32,3208,COLONIA VILLA VIEJA ( SITIO CARRANZA ),VILLA VIEJA ( SITIO CARRANZA ),VILLA VIEJA ( SITIO CARRANZA ),Default,633,32-VILVIE-003
1557,32,3218,"VILLA VIEJA, TIERRA BLANCA","VILLA VIEJA, TIERRA BLANCA","VILLA VIEJA, TIERRA BLANCA",Default,1047,32-VILVIE-005
14558,20,2022,COLONIA VILLANUEVA,VILLANUEVA,VILLANUEVA,Default,489,20-VILXXX-001
10552,18,1804,VILLANUEVA,VILLANUEVA,VILLANUEVA,Default,678,18-VILXXX-001
657,32,3204,VILLANUEVA (LA CALERA),VILLANUEVA (LA CALERA),VILLANUEVA (LA CALERA),Default,819,32-VILCAL-001
12145,23,0,VILLAS ALONDRA,VILLAS ALONDRA,VILLAS ALONDRA,Default,1190,23-VILALO-001
14658,23,2376,RESIDENCIAL VILLAS CANARIAS,VILLAS CANARIAS,VILLAS CANARIAS,Default,818,23-VILCAN-001
1492,16,1622,RES_VILLA CENTROAMERICANA,RES_VILLA CENTROAMERICANA,RES_VILLA CENTROAMERICANA,Default,1070,16-RESVIL-008
2941,28,2825,RESIDENCIAL VILLAS CORINTO,VILLAS CORINTO,VILLAS CORINTO,Default,346,28-VILCOR-001
1696,23,2348,RESIDENCIAL VILLAS DE LAS HADAS,VILLAS DE LAS HADAS,VILLAS DE LAS HADAS,Default,367,23-VILHAD-001
555,32,3211,VILLAS DE ORIENTE,VILLAS DE ORIENTE,VILLAS DE ORIENTE,Default,1191,32-VILORI-001
