Neighborhood,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
CRISTOBAL DIAZ,R3,640,COLONIA CRISTOBAL DIAZ,1341,DU05,SECTOR 13,,
CRUZ LARGA,D1,597,COLONIA CRUZ LARGA,1027,DU02,SECTOR 10,,
CRUZ ROJA,R4,,,,,,,
DAVID BETANCOURTH,R3,78,COLONIA DAVID BETANCOURHT,1371,DU11,SECTOR 13,,
DIOS PROVEERA,R4,192,COLONIA DIOS PROVEERA,2023,DU03,SECTOR 20,,
DIVANNA,R4,641,COLONIA DIVANNA,1343,DU05,SECTOR 13,,
DIVINA PROVIDENCIA,R3,,,,,,,
DULCE NOMBRE DE JESUS,R3,,,,,,,
EL BERRINCHE (PLANES),R3,758,COLONIA SOTO O PLANES DEL BERRINCHE,730,DU06,SECTOR 07,,
EL BOSQUE,R3,4,BARRIO EL BOSQUE,202,DU07,,,
EL CALVARIO,CH/R4,507,BARRIO EL CALVARIO,609,DU05,SECTOR 06,,
EL CARMELO,D3,,,,,,,
EL CARPINTERO,HATILLO,658,CARPINTERO,1508,DU07,SECTOR 15,,
EL CARRIZAL,R3,284,BARRIO EL CARRIZAL,2212,DU04,SECTOR 22,,
EL CARRIZAL NO.2,R3,775,COLONIA EL CARRIZAL,716,DU06,SECTOR 07,,
EL CARRIZAL NO.2,R3,958,COLONIA EL CARRIZAL N0.2,2518,DU11,SECTOR 25,,
EL CARRIZAL ZONA 3,R3,,,,,,,
EL CARRIZAL ZONA 4,R3,,,,,,,
EL CASTAÑO (LOS CASTANOS),R1,486,COLONIA LOS CASTAÑOS,401,DU02,SECTOR 04,,
EL CENTRO (COMAYAGUELA),CH,498,BARRIO CENTRO DE COMAYAGUELA,617,DU01,SECTOR 06,,
EL CHILE,R3,755,BARRIO CHILE,732,DU06,SECTOR 07,,
EL CHIMBO,R3,536,ALDEA  EL CHIMBO,9996,DU07,SECTOR 09,,
EL COCO,R3,283,BARRIO EL COCO,2211,DU04,SECTOR 22,,
EL DORADO,R2,210,COLONIA EL DORADO,1917,DU02,SECTOR 19,,
EL DORAL CON EXP 5640-11,R2,420,CONDOMINIOS EL DORAL,2366,DU04,SECTOR 23,,
EL EDEN,R3,11,BARRIO EL EDEN,204,DU07,,,
EL EDEN NO 1,R3,59,COLONIA EL EDEN,1309,DU11,SECTOR 13,,
EL ESTIQUIRIN,R4,,,,,,,
EL HATILLO,HATILLO,539,ALDEA EL HATILLO,1509,DU07,SECTOR 15,,
EL HOGAR,R2,208,COLONIA EL HOGAR,1902,DU02,SECTOR 19,,
EL INFIERNITO,R3,,,,,,,
EL JAPON,R3,527,COLONIA EL JAPON,819,DU07,SECTOR 08,,
EL JASMIN,CH,15,BARRIO EL JAZMIN,104,DU01,,,
EL LOLO,R3,841,CASERIO EL LOLO,1403,DU06,SECTOR 14,,
EL MANCHEN,R3,470,BARRIO EL MANCHEN,303,DU07,SECTOR 03,,
EL MOLINO 16,R3,709,CONDOMINIOS RESIDENCIALES VILLAS DEL MOLINO,1651,DU08,SECTOR 16,,
EL MOLINO 21,R3,250,RESIDENCIAL LOS MOLINOS,2149,DU03,SECTOR 21,,
EL MOLINON,R4,713,RESIDENCIAL EL MOLINON,1644,DU08,SECTOR 16,,
EL OLVIDO,CH,17,BARRIO EL OLVIDO,105,DU01,,,
EL PASTEL,R3,802,BARRIO EL PASTEL,739,DU06,SECTOR 07,,
EL PEDERNAL,R3,951,COLONIA EL PEDERNAL,0,DU05,SECTOR 25,,
EL PILIGUÍN (COLONIA EL TRIGO),HATILLO,538,EL TRIGO,940,DU07,SECTOR 09,,
EL PORTILLO 14,R3,843,CASERIO EL PORTILLO,1405,DU06,SECTOR 14,,
EL PORTILLO 28,R3,889,RESIDENCIAL EL PORTILLO,2827,DU10,SECTOR 28,,
EL PORVENIR,R3,756,COLONIA  EL PORVENIR,731,DU06,SECTOR 07,,
EL PROGRESO # 1,R3,643,COLONIA EL PROGRESO I,1384,DU05,SECTOR 13,,
EL REPARTO,R3,547,COLONIA EL REPARTO,902,DU07,SECTOR 09,,
EL RETIRO,R4,60,COLONIA EL RETIRO,1350,DU11,SECTOR 13,,
EL RINCON,R3/HATILLO,571,COLONIA LA LEONA DEL RINCON,941,DU07,SECTOR 09,,
EL ROSARIO,R3,770,COLONIA ROSARIO,713,DU05,SECTOR 07,,
EL SAUCE,R3,413,RESIDENCIAL EL SAUCE,9998,DU10,SECTOR 23,,
EL SITIO,R3,0,COLONIA EL SITIO,2922,DU08,SECTOR 29,,
EL SITIO ARRIBA,R3,537,COLONIA SITIO ARRIBA,927,DU07,SECTOR 09,,
EL SITIO/98,R4,,,,,,,
EL SOCORRO,R3,817,COLONIA  EL SOCORRO,608,DU05,SECTOR 06,,
EL STIBYS / ECO URBANIZACIONES,UR/R4,,,,,,,
EL TABLON,R4,861,RESIDENCIAL EL TABLON,2608,DU09,SECTOR 26,,
EL TREBOL,R2,45,COLONIA EL TREBOL,1231,DU04,SECTOR 12,,
EL TRIGO,HATILLO,538,EL TRIGO,940,DU07,SECTOR 09,,
EL ZANCUDO,R3,,,,,,,
ELECTROCENTRO,R3,,,,,,,
ELVEL,R2,604,COLONIA  ELVEL,1107,DU02,SECTOR 11,,
EMBALSE DE LA REPRESA LAURELES,AR,998,REPRESA LOS LAURELES,0,,SECTOR 24,,
ENMANUEL,R3,876,RESIDENCIAL ENMANUEL,2720,DU09,SECTOR 27,,
ENTRE PINOS,HATILLO,664,RESIDENCIAL ENTREPINOS 1,1515,DU07,SECTOR 15,,
EQUIPAMIENTO GUBERNAMENTAL,G,,,,,,,
ERA #1,R3,0,COLONIA LA ERA,2911,DU08,SECTOR 29,,
ERENDIDA (LAS VEGAS),R4,237,COLONIA ERENDIRA,2116,DU03,SECTOR 21,,
ESPIRITU SANTO,R3,613,COLONIA ESPIRITU SANTO,1327,DU05,SECTOR 13,,
ESTADIO NACIONAL,AR,685,ESTADIO NACIONAL,0,DU02,SECTOR 05,,
ESTRELLA,R3,820,BARRIO LA ESTRELLA,806,DU07,SECTOR 08,,
FABRICA TEXTILES RIO LINDO,ZI,271,COLONIA JARDINES DE LOARQUE,2105,DU09,SECTOR 21,,
FABRICA TEXTILES RIO LINDO,ZI,,,,,,,
FATIMA NRO. 1,R3,55,COLONIA FATIMA,1316,DU11,SECTOR 13,,
FATIMA NRO. 2,R3,55,COLONIA FATIMA,1316,DU11,SECTOR 13,,
FEHCOVIL,R3,0,COLONIA FEHCOVIL,2902,DU08,SECTOR 29,,
FERNANDO,R3,478,COLONIA FERNANDO CALDERON,0,DU07,SECTOR 09,,
FINCA VALLADARES,R1,,,,,,,
FINLAY,CH,464,BARRIO LA RONDA,111,DU01,,,
FLOR # 1,R3,788,COLONIA FLOR No. 1,725,DU06,SECTOR 07,,
FLOR # 2,R3,805,COLONIA FLOR No. 2,741,DU06,SECTOR 07,,
FLOR DEL CAMPO (LAS DELICIAS),R3,978,COLONIA FLOR DEL CAMPO,2414,DU04,SECTOR 24,,
FLORENCIA NORTE,R1,667,COLONIA FLORENCIA NORTE,1702,DU02,SECTOR 17,,
FLORENCIA OESTE,R1,666,COLONIA FLORENCIA OESTE,1704,DU02,SECTOR 17,,
FLORENCIA SUR,R1-R2,86,COLONIA FLORENCIA SUR,1703,DU02,SECTOR 17,,
FLORENTINOS,R3,873,RESIDENCIAL FLORENTINOS,2723,DU09,SECTOR 27,,
FLORES DE ORIENTE,R3,0,COLONIA FLORES DE ORIENTE,2905,DU08,SECTOR 29,,
FLORESTA DEL PICACHO,HATILLO,533,RESIDENCIAL FLORESTA DEL PICACHO,842,DU07,SECTOR 08,,
FRANCISCO MORAZAN,R4,,,,,,,
FRANCISCO MURILLO SOTO,R3,282,COLONIA FRANCISCO MURILLO SOTO,2210,DU04,SECTOR 22,,
FRATERNIDAD,R3,559,COLONIA LA FRATERNIDAD,905,DU02,SECTOR 09,,
FRATERNIDAD PESPIRENSE,R4,846,COLONIA FRATERNIDAD PESPIRENSE,0,DU06,SECTOR 07,,
FUENTE DE VIDA (NUEVA ALDEA),R3,648,COLONIA LA FUENTE I  ETAPA,1345,DU11,SECTOR 13,,
FUERZAS ARMADAS,R3,792,COLONIA FUERZAS ARMADAS,768,DU05,SECTOR 07,,
FUERZAS UNIDAS,R3,942,COLONIA FUERZAS UNIDAS,2533,DU11,SECTOR 25,,
GENERACION 2000,R3,956,COLONIA GENERACION 2000,2540,DU11,SECTOR 25,,
"GERMANIA (CASERIOS GERMANIA, LOS JUTES Y PASO ANCH",SECTOR 27,888,RESIDENCIAL LOMAS DE GERMANIA,2824,DU10,SECTOR 28,,
GIRASOLES,R3,558,COLONIA GIRASOLES,908,DU07,SECTOR 09,,
GLORIA A DIOS,R4,143,COLONIA GLORIA A DIOS,1816,DU02,SECTOR 18,,
GRACIAS A DIOS,R3,944,COLONIA GRACIAS A DIOS,2502,DU05,SECTOR 25,,
GRAN MIRADOR,R1,816,EL GRAN MIRADOR,0,DU07,SECTOR 15,,
GRANADA,R3,764,COLONIA  GRANADA,705,DU05,SECTOR 07,,
GUACERIQUE,R3,600,BARRIO GUACERIQUE,1202,DU04,SECTOR 12,,
GUADALUPE,D3,491,BARRIO LA GUADALUPE,507,DU02,SECTOR 05,,
GUAJOCO,CH,459,BARRIO GUAJOCO,121,DU01,,,
GUAMILITO,R4,760,COLONIA GUAMILITO,755,DU06,SECTOR 07,,
GUANACASTE,CH,20,BARRIO GUANACASTE,106,DU07,,,
GUILLEN,R3,548,COLONIA GUILLEN,906,DU07,SECTOR 09,,
GUZMAN,R3,965,COLONIA CIUDAD GUZMAN,2545,DU11,SECTOR 25,,
HACIENDA EL MOLINO,R3,,,,,,,
HACIENDA EL TRAPICHE,R1,90,RESIDENCIAL EL TRAPICHE,1726,DU02,SECTOR 17,,
HACIENDA HATO DE EN MEDIO,R1,141,COLONIA HATO DE ENMEDIO SECTOR 1,1801,DU02,SECTOR 18,,
HACIENDA REAL I ETAPA,R3,,,,,,,
HACIENDA REAL II ETAPA PARTE - A - Y PARTE -B-,R3,,,,,,,
HAMBURGO 20,R3,864,RESIDENCIAL HAMBURGO,2609,DU09,SECTOR 26,,
HAMBURGO 26,R3,,,,,,,
HATILLO,HATILLO/ R3,539,ALDEA EL HATILLO,1509,DU07,SECTOR 15,,
HATO DE EN MEDIO FOSOVI,R4,141,COLONIA HATO DE ENMEDIO SECTOR 1,1801,DU02,SECTOR 18,,
HATO O SAN IGNACIO,R1,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
HENRY MERRIAN,R3,,,,,,,
HOLLIWOOD,R3,648,COLONIA LA FUENTE I  ETAPA,1345,DU11,SECTOR 13,,
HONDURAS,R4,176,RESIDENCIAL HONDURAS,2019,DU09,SECTOR 20,,
HUMUYA,R3,601,COLONIA HUMUYA,1101,DU02,SECTOR 11,,
IBERIA,R3,629,COLONIA IBERIA,767,DU05,SECTOR 07,,
"ILAMAPA, CIUDAD SATELITE",R4,,,,,,,
INDEPENDENCIA,R4,795,COLONIA LA INDEPENDENCIA,723,DU05,SECTOR 07,,
INDEPENDENCIA PORTILLO,R3,,,,,,,
INESTROZA,R3,,,,,,,
INSTALACIONES DEL SANAA,R3,119,PLANTEL SANAA,0,DU03,SECTOR 21,,
INTERAMERICANA,R2,634,COLONIA INTERAMERICANA,1332,DU05,SECTOR 13,,
ISRAEL,R4,,,,,,,
ISRAEL NORTE,R4,652,COLONIA  ISRAEL NORTE,1314,DU11,SECTOR 13,,
ISRAEL SUR,R4,53,COLONIA ISRAEL SUR,1313,DU11,SECTOR 13,,
JACALEAPA (CASERIO EL JICARO),R3,,,,,,,
JACALEAPA (LA CIENEGA),R3,,,,,,,
JACARANDA,R3,469,COLONA LAS JACARANDAS,310,DU07,SECTOR 03,,
JARDIN,R3-R4,565,RESIDENCIAL EL JARDIN,937,DU07,SECTOR 09,,
JARDIN DE CASAMATA,R3,19,BARRIO CASAMATA,302,DU07,SECTOR 03,,
JARDIN LAS COLINAS,R3,471,COLONIA JARDINES LAS COLINAS,308,DU07,SECTOR 03,,
JARDIN NORMA,R1,473,COLONIA JARDIN NORMA,430,DU02,SECTOR 04,,
JARDIN SANTA ROSA,R3,22,COLONIA JARDIN SANTA ROSA,306,DU07,SECTOR 03,,
JARDIN SONIA,R1,474,COLONIA LA CAMPA√ëA,410,DU02,SECTOR 04,,
JARDINES DE LOARQUE,R2,271,COLONIA JARDINES DE LOARQUE,2105,DU09,SECTOR 21,,
JARDINES DE MIRAFLORES,R2,216,COLONIA JARDINES DE MIRAFLORES,1919,DU03,SECTOR 19,,
JARDINES DE SAN JOSE,R3,286,COLONIAI JARDINES DE SAN JOSE,2207,DU04,SECTOR 22,,
JARDINES DE TONCONTIN,R3,973,COLONIA JARDINES DE TONCONTIN,2403,DU04,SECTOR 24,,
JARDINES DEL CARRIZAL,R4,,,,,,,
JARDINES DEL NORTE,R3,,,,,,,
JESUS AGUILAR PAZ / OROPEL,R3,259,RESIDENCIAL JESUS AGUILAR PAZ,2140,DU03,SECTOR 21,,
JOSE A DUARTE,R4,,,,,,,
JOSE ANGEL ULLOA,R4,,,,,,,
JOSE ARTURO DUARTE,R3,953,COLONIA JOSE ARTURO DUARTE,2522,DU11,SECTOR 25,,
JOSE ROBERTO MOLINA MURILLO FONEDOR,R3,,,,,,,
JOSE SIMON AZCONA,R3,549,COLONIA JOSE SIMON AZCONA,948,DU07,SECTOR 09,,
"JOYAS DEL DORADO EXP. 1649-13, 4326-13",R3,327,RESIDENCIAL JOYAS DEL DORADO,1237,DU03,SECTOR 19,,
JUAN LINDO,R3,516,COLONIA JUAN LINDO,0,DU05,SECTOR 06,,
KENNEDY FOSOVI,R3,171,COLONIA KENNEDY SUPER MANZANA 1,2001,DU03,SECTOR 20,,
KENNEDY NORTE,R4,171,COLONIA KENNEDY SUPER MANZANA 1,2001,DU03,SECTOR 20,,
LA ALAMBRA,R2,9,COLONIA ALAHAMBRA,210,DU01,,,
LA ARBOLEDA,R4,,,,,,,
LA AURORA,R1,588,COLONIA LA AURORA,1004,DU02,SECTOR 10,,
LA AURORA,R3,588,COLONIA LA AURORA,1004,DU02,SECTOR 10,,
LA BOLSA,R3,505,BARRIO LA BOLSA,1201,DU04,SECTOR 12,,
LA BURRERA,R3,974,COLONIA LA BURRERA,2404,DU04,SECTOR 24,,
LA CABAÑA,CH/R2,460,BARRIO LA CABAÑA,203,DU07,,,
LA CAMPAÑA,R1,474,COLONIA LA CAMPA√ëA,410,DU02,SECTOR 04,,
LA CAÑADA,R3,344,RESIDENCIAL LA CA√ëADA,2133,DU03,SECTOR 21,,
LA CAÑADA,R4,344,RESIDENCIAL LA CA√ëADA,2133,DU03,SECTOR 21,,
LA CHIVERA,R3,499,BARRIO LA CHIVERA,611,DU06,SECTOR 06,,
LA CIDRA,R3,,,,,,,
LA CIENEGA,R3,883,ALDEA LA CIENEGA,2707,DU09,SECTOR 27,,
LA CONCEPCION,R3,,,,,,,
LA CONCORDIA,CH,7,BARRIO LA CONCORDIA,219,DU01,,,
LA CRUZ,R3,468,COLONIA VIERA,301,DU07,SECTOR 03,,
LA CUESTA,R3,,,,,,,
LA CUESTA No. 2 (CASERIO EL DURAZNO),R3,844,ALDEA LA CUESTA No. 2,1407,DU06,SECTOR 14,,
"LA CUESTA NO. 2 (CASERIO EL LOLO, LA CUESTA No. 2)",R3,844,ALDEA LA CUESTA No. 2,1407,DU06,SECTOR 14,,
LA CUMBRE,R1,581,RESIDENCIAL LA CUMBRE,1007,DU02,SECTOR 10,,
LA ENTRADA CENTROAMERICA,R4,,,,,,,
LA ERA N1,R3,0,COLONIA LA ERA,2911,DU08,SECTOR 29,,
LA ESPERANZA,R3,769,BARRIO LA ESPERANZA,712,DU05,SECTOR 07,,
LA FATIMA,R4,55,COLONIA FATIMA,1316,DU11,SECTOR 13,,
LA FINCA,R3,,,,,,,
LA FLORIDA,R4,568,RESIDENCIAL FLORIDA I ETAPA,945,DU07,SECTOR 09,,
LA FUENTE,CH,8,BARRIO LA FUENTE,213,DU01,,,
LA FUENTE,R3,648,COLONIA LA FUENTE I  ETAPA,1345,DU11,SECTOR 13,,
LA FUENTE No 2,R4,648,COLONIA LA FUENTE I  ETAPA,1345,DU11,SECTOR 13,,
LA GRAN VILLA,R2,,,,,,,
LA GRANJA,R1,612,BARRIO LA GRANJA,1213,DU04,SECTOR 12,,
LA HACIENDA,R1,682,RESIDENCIAL LA HACIENDA,1723,DU02,SECTOR 17,,
LA HAYA,R3,763,COLONIA LA HAYA,704,DU05,SECTOR 07,,
LA HOYA,CH,463,BARRIO LA HOYA,108,DU01,,,
LA HOYA,D3,489,COLONIA LA HOYA,427,DU02,SECTOR 04,,
LA HUERTA,R3,314,COLONIA LA HUERTA,0,DU11,SECTOR 13,,
LA JOYA,R3,567,COLONIA LA JOYA,907,DU07,SECTOR 09,,
LA JOYA FOSOVI,R3,226,COLONIA LA JOYA FOSOVI,1913,DU03,SECTOR 19,,
LA LAGUNA,R3,790,COLONIA LA LAGUNA,721,DU05,SECTOR 07,,
LA LEONA,CH,12,BARRIO LA LEONA,209,DU01,,,
LA LEONA DEL RINCON,R3,571,COLONIA LA LEONA DEL RINCON,941,DU07,SECTOR 09,,
LA LEONA DEL RINCON,R4,571,LA LEONA DEL RINCON,941,DU07,Sector09,,
LA LIBERTAD(SECTOR VILLANUEVA SUYAPA),R3,156,COLONIA LA LIBERTAD,1809,DU08,SECTOR 18,,
LA LIMA,R3,,,,,,,
LA LOMA,R3,678,COLONIA LA LOMA,1735,DU02,SECTOR 17,,
LA MERCED,CH,465,BARRIO LA MERCED,109,DU01,SECTOR 01,,
LA MONCADA,CH,14,BARRIO LA MONCADA,115,DU01,SECTOR 01,,
LA PEDRERA,CH,466,BARRIO LA PEDRERA,118,DU01,SECTOR 01,,
LA PEDRERA,R3,976,COLONIA LA PRADERA,2406,DU04,SECTOR 24,,
LA PLAZUELA,CH,16,BARRIO LA PLAZUELA,110,DU01,SECTOR 01,,
LA PRADERA,R3,976,COLONIA LA PRADERA,2406,DU04,SECTOR 24,,
LA PRIMAVERA,R1,608,COLONIA LA PRIMAVERA,1220,DU04,SECTOR 12,,
LA RONDA,CH,464,BARRIO LA RONDA,111,DU01,SECTOR 01,,
LA ROSA,R4,,,,,,,
LA SOLEDAD,R3,925,ALDEA LA SOLEDAD No.2,2501,DU11,SECTOR 25,,
LA SOSA,R5,0,COLONIA LA SOSA,2914,DU08,SECTOR 29,,
LA SOSA NORTE,R3,,,,,,,
LA SOSA SUR,R3,,,,,,,
LA SOTO,R3,758,COLONIA SOTO O PLANES DEL BERRINCHE,730,DU06,SECTOR 07,,
LA TIGRA,AR,,,,,,,
LA TRAVESIA,R3,0,COLONIA LA TRAVESIA,2913,DU08,SECTOR 16,,
LA UNION,R3,712,COLONIA LA UNION,1605,DU08,SECTOR 16,,
LA ZOPILOTERA,R3,465,BARRIO LA MERCED,109,DU01,,,
LARA,R1,14,BARRIO LA MONCADA,115,DU01,,,
LARA NORTE,R1,466,BARRIO LA PEDRERA,118,DU01,,,
LAS ACACIAS,R3,968,COLONIA LAS ACACIAS,2504,DU06,SECTOR 25,,
LAS ANONAS,R1,16,BARRIO LA PLAZUELA,110,DU01,,,
LAS BEGONIAS SAN IGNACIO (CONDOMINIO HORIZONTAL),R2,976,COLONIA LA PRADERA,2406,DU04,SECTOR 24,,
LAS BRISAS,R3,230,COLONIA LAS BRISAS,1911,DU03,SECTOR 19,,
LAS BRISAS BETANIA,R3,608,COLONIA LA PRIMAVERA,1220,DU04,SECTOR 12,,
LAS CANTERAS,R3,464,BARRIO LA RONDA,111,DU01,,,
LAS CASITAS (CASERIO LAS CASITAS),R3,,,,,,,
LAS CASITAS (COLONIA FELICIDAD),R3,52,BARRIO LA SOLEDAD,1317,DU11,SECTOR 13,,
LAS CASITAS RESIDENCIAL,R3,,,,,,,
LAS COLINAS,R2,209,COLONIA LAS COLINAS,1904,DU02,SECTOR 19,,
LAS CRUCITAS,HATILLO,531,COLONIA LAS CRUCITAS,809,DU07,SECTOR 08,,
LAS CRUCITAS,R3,531,COLONIA LAS CRUCITAS,809,DU07,SECTOR 08,,
LAS CRUCITAS #2,HATILLO,758,COLONIA SOTO O PLANES DEL BERRINCHE,730,DU06,SECTOR 07,,
LAS DELICIAS,CH,457,BARRIO LAS DELICIAS,215,DU01,SECTOR 01,,
LAS GRANJITAS,R3,238,COLONIA LAS GRANJITAS,2117,DU03,SECTOR 21,,
LAS HADAS,R3,706,COLONIA LAS ANONAS,1639,DU07,SECTOR 16,,
LAS HADAS FECOVIL,R3,452,RESIDENCIAL LAS HADAS AMPLIACION FEHCOVIL,0,DU04,SECTOR 23,,
LAS HADAS SOGERIN,R2,414,RESIDENCIAL LAS HADAS,2319,DU04,SECTOR 23,,
LAS JOYAS,R4,,,,,,,
LAS MARGARITAS,R3,563,COLONIA VILLA SANTA MARGARITA,942,DU07,SECTOR 09,,
LAS MARIAS,R1,582,RESIDENCIAL LAS MARIAS,1031,DU02,SECTOR 10,,
LAS MERCEDES,R4,807,COLONIA LAS MERCEDES,736,DU05,SECTOR 07,,
LAS MINITAS,R1,589,COLONIA LAS MINITAS,1003,DU02,SECTOR 10,,
LAS PALMAS,R3,196,COLONIA LAS PALMAS,2004,DU03,SECTOR 20,,
LAS PALOMAS,R1,484,COLONIA LAS PALOMAS,411,DU02,SECTOR 04,,
LAS PAVAS,R3/R4,782,COLONIA LAS PAVAS,719,DU06,SECTOR 07,,
LAS PERLAS,R3,,,,,,,
LAS TORRES,R3,994,COLONIA LAS TORRES,2417,DU04,SECTOR 24,,
LAS VEGAS,R3,,,,,,,
LAS VEGAS (FECESITLEH),R3,239,COLONIA LAS VEGAS  FECESITLIH,2137,DU03,SECTOR 21,,
LAURELES REAL,R3,67,RESIDENCIAL LAURELES REAL,1382,DU11,SECTOR 13,,
LEMPIRA,CH/R4,508,BARRIO LEMPIRA,602,DU05,SECTOR 06,,
LINCOLN,R3,946,COLONIA LINCOLN,2509,DU11,SECTOR 25,,
LINDA VISTA,R1,584,COLONIA LINDA VISTA,1009,DU02,SECTOR 10,,
LINTON,R3,818,COLONIA LINTON,225,DU07,,,
LIQUIDAMBAR,R1/R2,676,VILLAS LIQUIDAMBAR,1737,DU02,SECTOR 17,,
LIVERPOOL,R3,945,COLONIA LIVERPOOL,0,DU05,SECTOR 25,,
LLANOS DEL POTRERO,R2,396,LLANO DEL POTRERO,2322,DU04,SECTOR 23,,
LOARQUE,R3,267,COLONIA LOARQUE,9993,DU09,SECTOR 21,,
LOARQUE SUR,R3,269,COLONIA LOARQUE SUR,2104,DU09,SECTOR 21,,
LOMA ALTA,R1,579,COLONIA LOMA ALTA,1026,DU02,SECTOR 10,,
LOMA LINDA NORTE,R1,605,COLONIA  LOMA LINDA NORTE,1109,DU02,SECTOR 11,,
LOMA LINDA SUR,R1,25,COLONIA  LOMA LINDA SUR,1110,DU02,SECTOR 11,,
LOMA SUR,R3,343,COLONIA LOMA SUR,2150,DU03,SECTOR 21,,
LOMA VERDE,R3,207,RESIDENCIAL LOMA VERDE,1927,DU02,SECTOR 19,,
LOMAS DE CARRARA,R3,680,RESIDENCIAL LOMAS DE CARRARA,1729,DU02,SECTOR 17,,
LOMAS DE GERMANIA,R4,888,RESIDENCIAL LOMAS DE GERMANIA,2824,DU10,SECTOR 28,,
LOMAS DE JACALEAPA,R4,187,RESIDENCIAL LOMAS DE JACALEAPA,2007,DU03,SECTOR 20,,
LOMAS DE LA FLORIDA,R4,708,RESIDENCIAL LOMAS DE LA FLORIDA,1648,DU02,SECTOR 16,,
LOMAS DE LA JOYA,R3,331,COLONIA LOMA DE LA JOYA,1931,DU03,SECTOR 19,,
LOMAS DE LAS MINITAS,R3,589,COLONIA LAS MINITAS,1003,DU02,SECTOR 10,,
LOMAS DE LOARQUE,R3,,,,,,,
LOMAS DE MARIA AUXILIADORA,R3,,,,,,,
LOMAS DE MIRAFLORES,R2,222,RESIDENCIAL VILLA LOMAS DE MIRAFLORES,1936,DU03,SECTOR 19,,
LOMAS DE MIRAFLORES SUR,R3,221,RESIDENCIAL LOMAS DE MIRAFLORES SUR,1921,DU03,SECTOR 19,,
LOMAS DE SAN JOSE,R3,190,COLONIA LOMAS DE SAN JOSE  I ETAPA,2018,DU03,SECTOR 20,,
LOMAS DE TILOARQUE (PLAN DE LAS LOMAS),R4,32,COLONIA LOMAS DE TILOARQUE ETAPA I,1208,DU04,SECTOR 12,,
LOMAS DE TILOARQUE ETAPA 1,R3,32,COLONIA LOMAS DE TILOARQUE ETAPA I,1208,DU04,SECTOR 12,,
LOMAS DE TILOARQUE ETAPA 2,R3,32,COLONIA LOMAS DE TILOARQUE ETAPA I,1208,DU04,SECTOR 12,,
LOMAS DE TONCONTIN,R3,909,COLONIA LOMAS DE TONCONTIN I ETAPA,2813,DU10,SECTOR 28,,
LOMAS DEL BOSQUE,R3,819,COLONIA LOMAS DEL BOSQUE,829,DU07,SECTOR 08,,
LOMAS DEL CASTAÑO,R1,587,COLONIA LOMAS DELCASTAÑOS SUR,1018,DU02,SECTOR 10,,
LOMAS DEL CORTIJO,R3,288,COLONIA LOMAS DEL CORTIJO,2213,DU04,SECTOR 22,,
LOMAS DEL COUNTRY,R2,637,COLONIA LOMAS DEL COUNTRY,1336,DU05,SECTOR 13,,
LOMAS DEL DORADO,R4,175,RESIDENCIAL LOMAS EL DORADO,2025,DU09,SECTOR 20,,
LOMAS DEL GUIJARRO,R1,593,COLONIA LOMAS DEL GUIJARRO,1006,DU02,SECTOR 10,,
LOMAS DEL GUIJARRO SUR,R1,594,RESIDENCIAL LOMAS DEL GUIJARRO SUR,1712,DU02,SECTOR 17,,
LOMAS DEL MAYAB,R1,596,COLONIA LOMAS DEL MAYAB,1008,DU02,SECTOR 10,,
LOMAS DEL NAVOO,R3,193,COLONIA BRISAS DE JACALEAPA O LOMAS DE NAVOO I ETAPA,2021,DU03,SECTOR 21,,
LOMAS DEL NORTE,R4,962,COLONIA LOMAS DEL NORTE,2507,DU11,SECTOR 25,,
LOMAS DEL PORTILLO,R3,573,RESIDENCIAL LOMAS DEL MOLINO,946,DU07,SECTOR 09,,
LOMAS DEL PRADO NORTE,R4,739,RESIDENCIAL LOMAS DEL PRADO NORTE,1646,DU08,SECTOR 16,,
LOS ALMENDROS,R1,576,COLONIA LOS ALMENDROS,1010,DU02,SECTOR 10,,
LOS ALPES,R3,348,COLONIA LOS ALPES No.1,2146,DU03,SECTOR 21,,
LOS ALPES DE,R3,249,COLONIA LOS ALPES No.2,2142,DU03,SECTOR 21,,
LOS ANDES,R3,947,COLONIA LOS ANDES,0,DU11,SECTOR 25,,
LOS ANGELES,R1,402,COLONIA LOS ANGELES,2315,DU04,SECTOR 23,,
LOS ANGELES(CATESA),R2,401,RESIDENCIAL CATESA,0,DU04,SECTOR 23,,
LOS DOLORES,CH,461,BARRIO LOS DOLORES,114,DU01,,,
LOS ENCUENTROS,R3,,,,,,,
LOS ENSUEÑOS LLANOS DEL POTRERO (CIRCUITO CERRADO),R2,396,LLANO DEL POTRERO,2322,DU04,SECTOR 23,,
LOS EUCALIPTOS,R4,441,RESIDENCIAL LOS EUCALIPTOS,2351,DU04,SECTOR 23,,
LOS HIDALGOS,R3,444,RESIDENCIAL LOS HIDALGOS,2356,DU10,SECTOR 23,,
LOS HIDALGOS CIRCUITO 1 Y CIRCUITO 2,R3,389,RESIDENCIAL LOS HIDALGOS CIRCUITO I,2356,DU10,SECTOR 23,,
LOS HIGUEROS,R3,154,COLONIA EL HIGUERO,1808,DU08,SECTOR 18,,
LOS JUTES,R4,,,,,,,
LOS JUTES (CASERIO LAS PILITAS),HATILLO,,,,,,,
