Neighborhood,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
ALTOS DE LAS LOMAS,R1,679,RESIDENCIAL ALTOS DE LAS LOMAS,1713,DU02,SECTOR 17,,
ALTOS DE LAS VEGAS,R3,,,,,,,
ALTOS DE LOARQUE,R3,,,,,,,
ALTOS DE LOS LAURELES,R4,64,COLONIA ALTOS  DE LOS LAURELES,1303,DU11,SECTOR 13,,
ALTOS DE LOS PINOS,R4,0,COLONIA ALTOS DE LOS PINOS,2012,DU09,SECTOR 20,,
ALTOS DE MIRAFLORES LOTE 32,R2,352,COLONIA MIRAFLORES SUR LOTE 32,1934,DU03,SECTOR 19,,
ALTOS DE MIRAFLORES SUR BLOQUE 37,R3,353,RESIDENSIAL ALTOS DE MIRAFLORES SUR  LOTE 37,1934,DU03,SECTOR 19,,
ALTOS DE MIRAFLORES SUR ETAPA 1,R3,219,RESIDENCIAL ALTOS DE MIRAFLORES SUR I ETAPA,1933,DU03,SECTOR 19,,
ALTOS DE MIRAFLORES SUR ETAPA 2,R3-R4,339,RESIDENCIAL ALTOS DE MIRAFLORES SUR II ETAPA,1934,DU03,SECTOR 19,,
ALTOS DE MIRAFLORES SUR LOTE 01 (CONDOMINIO HORIZONTAL),R3,219,RESIDENCIAL ALTOS DE MIRAFLORES SUR I ETAPA,1933,DU03,SECTOR 19,,
ALTOS DE MIRAFLORES SUR LOTE 33 (CONDOMINIO HORIZONTAL),R3,333,CONDOMINIOS ALTOS DE MIRAFLORES SUR LOTE 33,0,DU03,SECTOR 19,,
ALTOS DE MIRAMESI,R3,1,COLONIA MIRAMESI,205,DU07,,,
ALTOS DE MIRAMONTES,R1,606,COLONIA ALTOS DE MIRAMONTES,1104,DU02,SECTOR 11,,
ALTOS DE MONTE REAL,R1,,,,,,,
ALTOS DE SAN FRANCISCO,R4,330,COLONIA  ALTOS DE SAN FRANCISCO,1305,DU11,SECTOR 13,,
ALTOS DE SAN ISIDRO,R3,256,COLONIA ALTOS DE SAN ISIDRO,0,DU03,SECTOR 21,,
ALTOS DE SAN JOSE,R3,292,COLONIA ALTOS DE SAN JOSE,2221,DU04,SECTOR 22,,
ALTOS DE SANTA ROSA 27,R3,878,COLONIA ALTOS DE SANTA ROSA,2713,DU09,SECTOR 27,,
ALTOS DE SANTA ROSA 35,R3,,,,,,,
ALTOS DE TILOARQUE,R3,35,COLONIA ALTOS  DE TILOARQUE,1216,DU04,SECTOR 12,,
ALTOS DE TONCONTIN,R3,907,COLONIA ALTOS DE TONCONTIN,2801,DU10,SECTOR 28,,
ALTOS DE VENECIA ETAPA 1 Y ETAPA 2,R3,265,RESIDENCIAL ALTOS DE VENECIA I ETAPA,2152,DU09,SECTOR 21,,
ALTOS DE VENECIA ETAPA 3 (CONDOMINIO HORIZONTAL),R3,378,RESIDENCIAL ALTOS DE VENECIA III ATAPA,2152,DU09,SECTOR 21,,
ALTOS DE VILLA ADELA,R3,515,BARRIO VILLA ADELA,603,DU05,SECTOR 06,,
ALTOS DE VILLA VIEJA,R4,,,,,,,
ALTOS DEL MILAGRO,R3,638,COLONIA ALTOS DEL MILAGRO,1338,DU05,SECTOR 13,,
ALTOS DEL PARAISO,R4,936,COLONIA ALTOS DEL PARAISO,2521,DU11,SECTOR 25,,
ALTOS DEL PEDREGALITO,R4,766,COLONIA PEDREGALITO,707,DU05,SECTOR 07,,
"ALTOS DEL TRAPICHE ETAPA 1 , 2, 3, 4 Y 5",R4,131,RESIDENCIAL ALTOS DEL TRAPICHE I ETAPA,1818,DU08,SECTOR 18,,
ALTOS DEL TRAPICHE ETAPA VI (CONDOMINIO HORIZONTAL),R3,131,RESIDENCIAL ALTOS DEL TRAPICHE I ETAPA,1818,DU08,SECTOR 18,,
AMERICA,R2,419,COLONIA AMERICA,2312,DU04,SECTOR 23,,
ANEXO LA FRATERNIDAD,R3,735,COLONIA LA FRATERNIDAD ANEXO,0,DU02,SECTOR 16,,
ANEXO LAS VEGAS,R3,241,ANEXO LAS VEGAS,2130,DU03,SECTOR 21,,
ARCIERY 1,R3,354,COLONIA ARCIERY,0,DU11,SECTOR 13,,
ARCIERY 2,R3,79,COLONIA ARCIERY SECTOR II,1370,DU11,SECTOR 13,,
ARGENTINA,R2,487,COLONIA  ARGENTINA,428,DU02,SECTOR 04,,
ARMANDO CALIDONIO,R4,744,COLONIA ARMANDO CALIDONIO,1634,DU08,SECTOR 16,,
ARTURO QUEZADA,R4,75,COLONIA  ARTURO QUEZADA,1346,DU11,SECTOR 13,,
ATLANTIC,R3,49,RESIDENCIAL ATLANTIS,1223,DU04,SECTOR 12,,
AUSTRALIA,R4,972,COLONIA AUSTRALIA,2514,DU11,SECTOR 25,,
AVENIDA LA PAZ,D1,476,AVENIDA LA PAZ,418,DU02,SECTOR 04,,
AYESTAS,R3,804,COLONIA LAS AYESTAS,742,DU06,SECTOR 07,,
BALDIO (ALDEA LOS JUTES),HATILLO,539,ALDEA EL HATILLO,1509,DU07,SECTOR 15,,
BALDIO (SABANAGRANDE),R3,,,,,,,
BARRIO ABAJO,CH,13,BARRIO ABAJO,101,DU01,SECTOR 01,,
BARRIO EL MIRADOR,R3,51,MIRADOR DE TILOARQUE,1235,DU04,SECTOR 12,,
BARRIO LA CUESTA N01,R3,970,ALDEA LA CUESTA No.1,2505,DU06,SECTOR 25,,
BARRIO LA SOLEDAD,R3,52,BARRIO LA SOLEDAD,1317,DU11,SECTOR 13,,
BARRIO NUEVA VIERA,R3,530,COLONIA  NUEVA VIERA,0,DU07,SECTOR 08,,
BARRIO SAN PABLO,R3,21,BARRIO SAN PABLO,304,DU07,SECTOR 03,,
BARRIO VIERA,R3,468,COLONIA VIERA,301,DU07,SECTOR 03,,
BELEN,R3,761,BARRIO BELEN,702,DU05,SECTOR 07,,
BELLA ORIENTE,R2,144,RESIDENCIAL BELLA ORIENTE,1803,DU02,SECTOR 18,,
BELLA VISTA,R3,503,BARRIO BELLA VISTA,701,DU05,SECTOR 07,,
BENDECK,R3,511,COLONIA BENDECK,1337,DU05,SECTOR 13,,
BERNARDO DAZZI ETAPA 3,R3,198,RESIDENCIAL BERNARDO DAZZI I  ETAPA,2005,DU03,SECTOR 20,,
BETANIA,R3,231,COLONIA BETANIA,1929,DU02,SECTOR 19,,
BETHEL,R3,,,,,,,
BOLIVAR,R3,530,COLONIA  NUEVA VIERA,0,DU07,SECTOR 08,,
BOLIVAR,R3,21,BARRIO SAN PABLO,304,DU07,SECTOR 03,,
BOSQUES DE ALTAMIRA,R3,468,COLONIA VIERA,301,DU07,SECTOR 03,,
BRASILIA,R3,779,COLONIA BRASILIA,749,DU06,SECTOR 07,,
BRICEÑO,R3,,,,,,,
BRISAS DE JACALEAPA,R3,193,COLONIA BRISAS DE JACALEAPA O LOMAS DE NAVOO I ETAPA,2021,DU03,SECTOR 21,,
BRISAS DE JACALEAPA,R3/R4,193,COLONIA BRISAS DE JACALEAPA O LOMAS DE NAVOO I ETAPA,2021,DU03,SECTOR 21,,
