Seq,Neighborhood,City,Sector,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
740,CASCADAS SEGUNDA ETAPA,TEGUCIGALPA,23,R3,,,,,,,
838,CASERIO EL PEDREGAL,COMAYAGÜELA,25,R3,,,,,,,
291,CASERIO TILOARQUE,COMAYAGÜELA,12,R3,,,,,,,
652,CASO COL FALDAS DEL PEDREGAL,TEGUCIGALPA,21,R3,,,,,,,
250,CASTAÑO SUR,TEGUCIGALPA,10,R1,586,COLONIA CASTAÑOS SUR,1023,DU02,SECTOR 10,,
741,CATESA,TEGUCIGALPA,23,R1,,,,,,,
839,CEMENTERIO DIVINO PARAISO,COMAYAGÜELA,25,R3,,,,,,,
338,CEMENTERIO SANTA ANITA,COMAYAGÜELA,13,R3,651,CEMENTERIO SANTA ANITA,0,DU11,SECTOR 13,,
840,CENTENO NRO. 1,COMAYAGÜELA,25,R3,,,,,,,
841,CENTENO NRO. 2,COMAYAGÜELA,25,R3,,,,,,,
2,CENTRO,TEGUCIGALPA,1,CH,462,BARRIO EL CENTRO,103,DU01,,,
343,CENTRO AMERICA OESTE BLOQUE Y-Y,COMAYAGÜELA,13,R3,619,COLONIA CENTRO AMERICA OESTE,1344,DU11,SECTOR 13,,
575,CENTRO CIVICO GUBERNAMENTAL,COMAYAGÜELA,19,G,,,,,,,
83,CENTRO DE RECREACION LA ISLA,COMAYAGÜELA,5,AR/D3,493,BARRIO LA ISLA,509,DU02,SECTOR 05,,
339,CENTROAMERICA ESTE TODAS LAS ETAPAS,COMAYAGÜELA,13,R4,623,RESIDENCIAL CENTRO AMERICA ESTE I ETAPA,1320,DU05,SECTOR 13,,
340,CENTROAMERICA OESTE TODAS LAS ETAPAS,COMAYAGÜELA,13,R4,619,COLONIA CENTRO AMERICA OESTE,1344,DU11,SECTOR 13,,
341,CENTROAMERICANA,COMAYAGÜELA,13,R3,639,COLONIA CENTROAMERICANA,1321,DU05,SECTOR 13,,
342,CENTROAMERICANA FECOVIL,COMAYAGÜELA,13,R3,,,,,,,
212,CERRITOS,TEGUCIGALPA,9,R3,540,CERRITOS,904,DU07,SECTOR 09,,
185,CERRO EL PICACHO,TEGUCIGALPA,8,AR,535,CERRO EL PICACHO,0,DU07,SECTOR 08,,
187,CERRO GRANDE ZONA 2 Y ZONA 6,TEGUCIGALPA,8,R-4,654,COLONIA CERRO GRANDE ZONA 2,1401,DU06,SECTOR 14,,
186,CERRO GRANDE ZONA 4 Y ZONA 5,TEGUCIGALPA,8,R2,517,COLONIA CERRO GRANDE ZONA 4,814,DU06,SECTOR 08,,
188,CERRO GRANDE ZONA 7,TEGUCIGALPA,8,R-3,,,,,,,
189,CERRO GRANDE ZONA 8,TEGUCIGALPA,8,R4,523,COLONIA CERRO GRANDE ZONA 8 I ETAPA,840,DU06,SECTOR 08,,
190,"CERRO GRANDE, ZONA 1",TEGUCIGALPA,8,R1,,,,,,,
191,"CERRO GRANDE, ZONA 3",TEGUCIGALPA,8,R4,519,COLONIA CERRO GRANDE ZONA 3,813,DU06,SECTOR 08,,
84,CERRO JUANA LAINEZ,COMAYAGÜELA,5,AR,494,CERRO JUANA LAINEZ,508,DU02,SECTOR 05,,
498,CHALET FRANCES,TEGUCIGALPA,17,R1,87,CHALET FRANCES SAN IGNACIO,1825,DU02,SECTOR 17,,
499,CHALET SUIZO,TEGUCIGALPA,17,R1,,,,,,,
991,CIUDAD ESPAÑA,TEGUCIGALPA,41,R3,,,,,,,
1010,CIUDAD ESPERANZA / EXP -6500-15 / 4251-15,TEGUCIGALPA,56,R4,,,,,,,
609,CIUDAD JARDIN,TEGUCIGALPA,20,R3,,,,,,,
344,CIUDAD LEMPIRA,COMAYAGÜELA,13,R4,73,RESIDENCIAL CIUDAD LEMPIRA I ETAPA,1362,DU11,SECTOR 13,,
345,CIUDAD LEMPIRA II ETAPA,COMAYAGÜELA,13,R3,73,RESIDENCIAL CIUDAD LEMPIRA I ETAPA,1362,DU11,SECTOR 13,,
800,CIUDAD NUEVA,COMAYAGÜELA,24,R1,,,,,,,
977,CIUDAD TÉCNOLÓGICA ROSA DE LOBO (ALCAZAR DEL SUR),TEGUCIGALPA,35,R3,,,,,,,
126,COFRADIA,COMAYAGÜELA,7,R3,808,COLONIA COFRADIA,743,DU05,SECTOR 07,,
447,COL 13 DE JULIO,TEGUCIGALPA,16,R3,719,COLONIA 13 DE JULIO,1615,DU02,SECTOR 16,,
346,COL 14 DE ENERO,COMAYAGÜELA,13,R3,616,COLONIA 14 DE ENERO,0,DU11,SECTOR 13,,
653,COL 14 DE MARZO,TEGUCIGALPA,21,R3,251,COLONIA 14 DE MARZO,2108,DU03,SECTOR 21,,
347,COL 19 DE SEPTIEMBRE,COMAYAGÜELA,13,R4,66,COLONIA   19 DE SEPTIEMBRE,1306,DU11,SECTOR 13,,
348,COL 1ERO DE DICIEMBRE,COMAYAGÜELA,13,R4,624,COLONIA PRIMERO DE DICIEMBRE,1379,DU05,SECTOR 13,,
349,COL 23 DE JUNIO,COMAYAGÜELA,13,R4,650,COLONIA   23 DE JUNIO,1315,DU11,SECTOR 13,,
350,COL 25 DE ENERO,COMAYAGÜELA,13,R4,83,COLONIA 25 DE ENERO,1381,DU11,SECTOR 13,,
448,COL 28 DE MARZO,TEGUCIGALPA,16,R4,726,COLONIA 28 DE MARZO,1619,DU02,SECTOR 16,,
127,COL 3 DE MAYO,COMAYAGÜELA,7,R3,796,COLONIA 3 DE MAYO,744,DU06,SECTOR 07,,
578,COL DE LA JOYA,TEGUCIGALPA,19,R3,,,,,,,
251,COL EL TRIANGULO,TEGUCIGALPA,10,R1,585,COLONIA EL TRIANGULO,1013,DU02,SECTOR 10,,
742,COL GODOY,TEGUCIGALPA,23,R2,,,,,,,
610,COL GUAYMURA,TEGUCIGALPA,20,R4,,,,,,,
351,COL IBERIA,COMAYAGÜELA,13,R4,629,COLONIA IBERIA,767,DU05,SECTOR 07,,
449,COL IZAGUIRRE,TEGUCIGALPA,16,R4,728,COLONIA IZAGUIRRE,1612,DU02,SECTOR 16,,
656,COL LA CANADA,TEGUCIGALPA,21,R3,,,,,,,
450,COL LA ESPERANZA,TEGUCIGALPA,16,R4,727,COLONIA LA ESPERANZA,1613,DU02,SECTOR 16,,
576,COL LA JOYA,TEGUCIGALPA,19,R4,,,,,,,
657,COL LA PEÑA,TEGUCIGALPA,21,R4,,,,,,,
451,COL LA TRINIDAD,TEGUCIGALPA,16,R3,711,COLONIA LA TRINIDAD,1603,DU08,SECTOR 16,,
21,COL LOMAS DEL BOSQUE,TEGUCIGALPA,2,R3,819,COLONIA LOMAS DEL BOSQUE,829,DU07,SECTOR 08,,
252,COL LOMAS DEL GUIJARRO,TEGUCIGALPA,10,R1,593,COLONIA LOMAS DEL GUIJARRO,1006,DU02,SECTOR 10,,
128,COL MELGAR,COMAYAGÜELA,7,R4,773,COLONIA MELGAR,706,DU06,SECTOR 07,,
577,COL NORA DE MELGAR S/A,TEGUCIGALPA,19,R3,,,,,,,
213,COL NUEVA SANTA ROSA,TEGUCIGALPA,9,R4,552,COLONIA NUEVA SANTA ROSA,928,DU07,SECTOR 09,,
292,COL NUEVO AMANECER,COMAYAGÜELA,12,R3,29,COLONIA NUEVO AMANECER,1217,DU04,SECTOR 12,,
842,COL NUEVOS HORIZONTES,COMAYAGÜELA,25,R3,,,,,,,
293,COL OSCAR CASTRO,COMAYAGÜELA,12,R4,28,COLONIA OSCAR CASTRO TEJADA,1236,DU04,SECTOR 12,,
64,COL PARCALTAGUA,TEGUCIGALPA,4,D1,481,BARRIO PARCALTAGUA,417,DU02,SECTOR 04,,
274,COL PEREZ,COMAYAGÜELA,11,R1,607,COLONIA PEREZ,1108,DU02,SECTOR 11,,
654,COL POPULAR NUM 1 COMAYAGUELA,TEGUCIGALPA,21,R3,,,,,,,
706,COL PROVIDENCIA,COMAYAGÜELA,22,R3,,,,,,,
500,COL RUBEN ANTUNEZ,TEGUCIGALPA,17,R2,88,COLONIA RUBEN ANTUNEZ,1707,DU02,SECTOR 17,,
129,COL SAN CRISTOBAL,COMAYAGÜELA,7,R4,806,COLONIA SAN CRISTOBAL,735,DU05,SECTOR 07,,
655,COL SAN JOSE DEL PEDREGAL,TEGUCIGALPA,21,R3,,,,,,,
352,COL SANTA EDUVIGES,COMAYAGÜELA,13,R4,62,COLONIA SANTA EDUVIGES,1308,DU11,SECTOR 13,,
611,COL SANTA ISABEL(RECIBE NOMBRE PALMAS),TEGUCIGALPA,20,R3,,,,,,,
707,COL SATELITE,TEGUCIGALPA,22,R2,,,,,,,
843,COL SMITH,COMAYAGÜELA,25,R4,,,,,,,
844,COL SMITH NUM 2,COMAYAGÜELA,25,R4,,,,,,,
253,COL TEPEYAC,TEGUCIGALPA,10,R1,592,COLONIA TEPEYAC,1005,DU02,SECTOR 10,,
353,COL VENEZUELA,COMAYAGÜELA,13,R3,611,COLONIA VENEZUELA,1210,DU11,SECTOR 13,,
743,COL. AMERICA,TEGUCIGALPA,23,R2,,,,,,,
294,COL. MARIA CRISTINA,COMAYAGÜELA,12,R4,40,COLONIA MARIA CRISTINA,1203,DU04,SECTOR 12,,
254,COL. PAYAQUI,TEGUCIGALPA,10,R1,595,COLONIA PAYAQUI,1012,DU02,SECTOR 10,,
